column,missing_pct
ru_velke_kapusany_kwh_d,28.13
carbon_grn_usd,9.57
kr_ip_yoy,1.65
euro_ip_index,1.65
us_ip_index,1.65
GPR,1.45
GPRT,1.45
GPRA,1.45
GPRC_RUS,1.45
epu_europe,1.24
us_working_gas_bcf,0.31
wind_northsea_kmh,0.16
hdd_amsterdam,0.16
hdd_chicago,0.16
hdd_seoul,0.16
henry_hub_spot_usd_mmbtu,0.05
ttf_usd,0.0
spread_ttf_hh,0.0
spread_ttf_jkm,0.0
spread_jkm_hh,0.0
brent_usd_mmbtu,0.0
date,0.0
brent_usd_bbl,0.0
eu_lng_sendout_gwh,0.0
eu_gas_twh,0.0
eu_storage_pct,0.0
ttf_eur_mwh,0.0
hh_fut_usd_mmbtu,0.0
jkm_usd_mmbtu,0.0
eurusd,0.0
usdcny,0.0
regime,0.0
